<<<<<<< HEAD
timestamp,cpu_usage,memory_usage,response_time,error_count,failure,root_cause,cpu_ma,memory_ma,response_ma,error_ma,cpu_std,memory_std,response_std,cpu_change,memory_change,response_change,error_change,cpu_lag1,cpu_lag2,memory_lag1,memory_lag2,response_lag1,response_lag2,error_lag1,error_lag2,anomaly_label,anomaly_score,failure_probability,predicted_failure,predicted_root_cause,alert_status,recommended_action,auto_resolution,resolution_playbook,resolution_confidence,can_auto_execute
2025-01-01 00:04:00,43.6,3.67,140.53,1,0,NORMAL,47.756,3.998,185.408,0.6,4.249215221661524,0.3265271811044219,49.7922541164788,-10.54,-0.4900000000000002,-115.73999999999998,0.0,54.14,48.89,4.16,4.3,256.27,156.52,1.0,0.0,0,0.18565294193205656,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:05:00,43.6,3.6,282.13,0,0,NORMAL,46.88,3.994,198.07,0.6,4.626245778166136,0.3323853185686756,65.86772085020097,0.0,-0.0699999999999998,141.6,-1.0,43.6,54.14,3.67,4.16,140.53,256.27,1.0,1.0,0,0.1807692649612634,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:06:00,54.48,3.98,154.97,1,0,NORMAL,48.94199999999999,3.942,198.084,0.6,5.356427914198041,0.3033479849941318,65.85625771329555,10.879999999999995,0.3799999999999999,-127.16,1.0,43.6,43.6,3.6,3.67,282.13,140.53,0.0,1.0,0,0.17631797139084998,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:07:00,49.6,4.7,231.92,0,0,NORMAL,49.084,4.022,213.164,0.6,5.364110364263582,0.4422894979535463,62.50692665617148,-4.879999999999996,0.7200000000000002,76.94999999999999,-1.0,54.48,43.6,3.98,3.6,154.97,282.13,1.0,0.0,0,0.184540979679991,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:08:00,42.18,4.33,183.57,2,0,NORMAL,46.69199999999999,4.056,198.624,0.8,5.210289819194316,0.4616600480873346,58.28611138170052,-7.420000000000002,-0.3700000000000001,-48.35,2.0,49.6,54.48,4.7,3.98,231.92,154.97,0.0,1.0,0,0.18716970050790738,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:09:00,48.26,3.78,230.16,0,0,NORMAL,47.624,4.077999999999999,216.55,0.6,4.92807061637716,0.4408174225232029,48.99485228062231,6.079999999999998,-0.5500000000000003,46.59,-2.0,42.18,49.6,4.33,4.7,183.57,231.92,2.0,0.0,0,0.1886183636134397,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:10:00,42.22,4.46,172.79,0,0,NORMAL,47.348,4.25,194.682,0.6,5.238637227371251,0.3697296309467235,34.73160045261374,-6.039999999999999,0.6800000000000002,-57.370000000000005,0.0,48.26,42.18,3.78,4.33,230.16,183.57,0.0,2.0,0,0.19331535589042032,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:11:00,42.21,2.29,191.86,0,0,NORMAL,44.89399999999999,3.912,202.06,0.4,3.714711294299986,0.9675071059170572,27.312463272286507,-0.009999999999998,-2.17,19.07000000000002,0.0,42.22,48.26,4.46,3.78,172.79,230.16,0.0,0.0,0,0.15984546175949638,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:12:00,46.45,4.69,202.05,0,0,NORMAL,44.264,3.91,196.086,0.4,2.89337691979456,0.9654791556527772,21.873612641719685,4.240000000000002,2.4000000000000004,10.189999999999998,0.0,42.21,42.22,2.29,4.46,191.86,172.79,0.0,0.0,0,0.15077615516732018,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:13:00,33.52,2.96,149.89,1,0,NORMAL,42.532,3.636,189.35,0.2,5.691614006588971,1.0098663277879896,30.267025787149933,-12.93,-1.7300000000000004,-52.160000000000025,1.0,46.45,42.21,4.69,2.29,202.05,191.86,0.0,0.0,0,0.1291544175744619,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
2025-01-01 00:14:00,34.65,3.78,237.04,0,0,NORMAL,39.81,3.636,190.726,0.2,5.519225489142444,1.0098663277879896,32.648830453785,1.1299999999999957,0.8199999999999998,87.15,-1.0,33.52,46.45,2.96,4.69,149.89,202.05,1.0,0.0,0,0.13821291844873035,0.0,0,NORMAL,OK,No action needed,No automated action required,Observe only; continue normal monitoring.,0.2,False
